(3^(1/3^3))^188,17 1175016051
(3^(1/3^3))^187,17 1350391581
(3^(1/3^3))^186,17 1214874126
(3^(1/3^3))^185,17 1219657095
(3^(1/3^3))^184,17 1254732201
(3^(1/3^3))^183,17 1338699879
(3^(1/3^3))^182,17 1258452288
(3^(1/3^3))^181,17 1318505121
(3^(1/3^3))^180,17 1307344860
(3^(1/3^3))^179,17 1311064947
(3^(1/3^3))^178,17 1328602500
(3^(1/3^3))^177,17 1362083283
(3^(1/3^3))^176,17 1368460575
(3^(1/3^3))^175,17 1398221271
(3^(1/3^3))^174,17 1449771048
(3^(1/3^3))^173,17 1428513408
(3^(1/3^3))^172,17 1434359259
(3^(1/3^3))^171,17 1421073234
(3^(1/3^3))^170,17 1436485023
(3^(1/3^3))^169,17 1457211222
(3^(1/3^3))^168,17 1460222721
(3^(1/3^3))^167,17 1489983417
(3^(1/3^3))^166,17 1491223446
(3^(1/3^3))^165,17 1478350764
(3^(1/3^3))^164,17 1484669007
(3^(1/3^3))^163,17 1502206560
(3^(1/3^3))^162,17 1504686618
